日期,指数涨跌幅(%),浦发银行,民生银行,宝钢股份,中国石化,南方航空,中信证券,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,绿地控股,青岛海尔,三安光电,伊利股份,大秦铁路,中国神华,兴业银行,北京银行,中国铁建,农业银行,中国平安,交通银行,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,光大银行,中国石油,中国国旅,建设银行,中国银行,中国重工,PC1,PC2,PC3,PC4,PC5,PC5,PC7
2010/11/30,-9.74,-12.3619,-7.1429,-12.4128,-8.7542,-24.5123,-17.3436,-10.4324,-15.007,-5.9259,-14.4855,1.6807,23.9425,-5.7115,-0.7224,25.5348,-10.3541,0.6767,0,-9.0018,-1.0058,14.0377,-8.7937,-15.3497,-11.5243,-13.2653,-11.4058,-5.4348,-5.3905,-9.8865,-10.9015,-1.904,-10.3288,-12.071,-6.0274,-18.3673,13.8796,-11.3426,-1.0724,37.9069,-6.584,-4.984,6.7127,6.00E+00,2.17E+00,-1.12E+00,-9.32E-01,-5.59E-01,1.83E+00,5.89E-01
2010/12/31,-0.2,-2.3641,-0.9862,1.7516,-0.861,9.4382,-1.7941,-1.8391,4.7855,5.315,-14.2523,-7.2314,1.6382,0.2089,-9.3555,-10.1997,-1.3291,10.829,1.6878,12.5249,8.3648,-16.7899,-3.3375,2.0653,0.0832,-3.8655,1.497,2.682,-0.9349,-1.4388,1.8824,0.9524,-1.2079,-4.4415,-0.2915,-2,10.8664,3.3943,1.355,-7.4694,-0.6494,-1.2232,9.0657,5.38E+00,9.05E-01,-1.01E+00,-3.11E-01,-9.78E-01,2.11E+00,1.71E+00
2011/1/31,-0.66,2.6634,0.1992,8.1377,11.6625,-11.807,-0.3971,-1.4052,1.9685,14.0187,18.3924,-10.6904,-17.0416,4.0646,2.9817,-3.2242,-12.7111,0.5391,-2.0747,-12.6905,-0.0218,-6.8479,10.7417,-3.9255,8.1081,1.5734,16.9617,-2.2388,-11.5028,1.0949,15.2425,0.2358,-2.4454,-0.4695,9.6491,1.895,20.1325,-1.7677,1.7825,-9.2347,4.5752,0.3096,19.5081,6.35E+00,1.32E+00,-1.09E+00,1.46E+00,-1.15E+00,-2.21E-01,9.65E-01
2011/2/28,2.71,-0.0786,1.5905,0.5789,-5.3333,2.0955,17.3046,1.9002,-4.4788,-3.6066,6.1565,5.4032,5.1407,27.8918,7.1269,0.3877,7.6288,15.9853,9.4633,25.2538,4.7983,7.6319,-3.3487,8.7195,0.3846,0.3442,-6.2205,-0.3817,0.1207,0.1805,-5.01,0.2353,0.4476,0.8019,-2.4,2.7897,-10.0331,-0.7712,-0.0876,4.6603,0.4167,0,0.6388,5.45E+00,-1.45E-01,7.05E-01,-7.04E-01,-2.35E+00,-1.95E+00,2.81E-01
2011/3/31,3.03,7.1597,9.3933,1.7266,0.1174,-8.3238,-5.0306,9.4794,8.5691,-3.2313,0,-7.571,-11.7228,-2.6233,-0.104,0.6548,6.0178,17.076,8.5161,-8.6872,-8.6368,-9.9322,2.27,12.7083,10,2.6587,-7.0365,5.7471,-0.6029,2.5225,-5.6962,4.9296,-1.426,-1.7782,1.0929,-2.714,-11.5196,-0.7772,4.2945,-11.0469,3.112,2.7778,-6.9817,6.07E+00,1.78E+00,7.97E-01,1.61E+00,2.52E-01,3.69E-01,1.53E-01
2011/4/29,1.5,4.8458,10.0179,-2.4045,1.2896,8.0846,-5.2971,2.626,-2.1593,2.6362,-1.2466,-1.7918,0.9379,-2.1311,10.4058,1.3678,-2.4,-6.7621,-1.7836,0.497,-9.2711,-1.534,4.9065,1.9251,1.7067,0.7519,-1.7467,6.5217,5.6005,4.5694,-1.566,2.0134,9.6293,-3.3349,7.8378,-3.5765,-4.0166,-0.2611,-1.5966,4.509,4.829,1.2012,-7.7331,6.18E+00,6.01E-01,2.19E+00,1.10E+00,-4.20E-01,6.11E-01,-1.94E+00
2011/5/31,-5.04,-2.9412,-1.4634,-7.6812,-6.713,-13.809,-2.8723,-3.8036,-5.6346,-2.226,-9.1658,-4.8653,-0.2273,-9.2973,16.9651,11.7876,-12.3951,-5.3467,-12.208,-7.4532,-9.4891,2.4691,-6.0134,-4.3508,-11.092,-8.5406,-9.4815,-3.4014,-6.7394,-3.1933,-5.6818,0,-8.8247,-5.7664,-6.015,-5.9347,-4.1847,-7.3298,-5.9778,-11.9561,-3.263,-0.8902,-6.9022,6.15E+00,4.43E-01,2.27E+00,-1.66E-02,-7.26E-01,-2.89E-01,-1.10E-01
2011/6/30,0,-6.5884,-3.772,-0.7497,3.7643,4.6729,5.965,-4.2559,17.0394,-8.056,13.2326,-0.6393,-2.4732,12.0359,33.5052,4.3327,0.1116,17.3897,2.5518,6.6794,0.5518,-4.5014,1.2569,9.1791,-5.0035,-7.6567,-0.982,0.4448,-0.9033,-3.8194,-3.8554,1.9301,2.9778,0.244,9.243,-1.3332,7.8788,-2.8324,0.554,-1.4237,2.2598,-1.5674,22.3774,6.03E+00,5.74E-01,3.15E+00,6.52E-01,-8.16E-01,7.16E-01,3.52E-01
2011/7/29,-3.7,-4.4715,-5.0611,-3.6484,-5.5893,5.4847,-5.4281,-5.1459,-4.7316,-1.9157,-8.3603,-0.4178,8.4418,-4.062,30.695,8.0958,6.5343,-10.0504,-4.9767,-8.8043,-1.4634,12.973,-7.2039,-1.493,-0.8902,-2.3069,-12.1531,-4.2857,-7.0208,-4.0828,-11.1532,-4.7085,-6.6101,-5.5467,-9.6774,-6.3158,-18.3989,-2.6866,-1.9284,12.4841,-4.6559,-1.9108,-3.6258,6.30E+00,-4.21E-01,3.58E+00,-7.98E-01,-9.69E-01,5.32E-02,-2.09E-01
2011/8/31,-3.48,-1.1702,10.1103,-8.9501,-5.2767,-5.3204,-1.6168,-4.0486,4.8711,-4.8828,-9.0642,-3.6313,-4.3077,-5.1811,18.3161,3.9092,0.4396,-11.1334,3.2733,-11.6535,-10.3342,6.0074,-1.1842,-9.2287,-0.2246,0.4107,-10.0569,-2.6119,-8.4719,-1.0395,-10.2857,-2.5882,-0.9087,-10.0508,-3.8462,-10.8038,-12.2203,-5.5215,-7.4906,9.4808,-2.5478,-2.5974,-7.5997,6.21E+00,-3.22E-01,3.37E+00,-1.58E-01,-6.88E-01,-1.03E-01,1.41E-01
