ETF,600000.SH,600016.SH,600019.SH,600028.SH,600029.SH,600030.SH,600036.SH,600048.SH
2.4160,12.1275,7.3694,5.0785,4.243,8.2593,17.9604,16.1922,9.633
1.9750,11.2181,6.5667,4.7417,3.7468,6.0909,13.4587,13.492,7.8856
1.9370,12.247,6.5153,4.6143,3.7212,5.6476,13.2545,13.105,8.2206
2.1560,11.9018,7.0242,4.7781,4.0719,6.0812,16.5217,14.4821,8.4017
2.1350,11.8354,7.1706,5.0694,4.166,5.8403,15.2594,15.9762,8.1029
2.1600,12.1408,7.0087,4.8145,4.1318,6.592,15.5843,16.2012,7.9896
2.1360,11.7024,7.0087,4.5113,4.0898,6.8041,15.0645,15.7512,8.1214
2.2010,11.8001,7.1892,4.5113,4.1504,8.2662,15.0552,16.0713,8.4602
2.2840,12.3863,7.307,4.5113,4.3324,7.1355,16.1485,17.448,9.2224
2.2350,12.3939,7.354,4.5113,4.2817,6.8236,15.4032,16.858,9.0342
2.3050,12.2285,7.3063,5.165,4.4139,6.9893,15.8714,16.7269,8.6107
2.4190,12.8974,7.5446,5.8924,4.5108,7.5449,16.9607,17.3731,9.2977
2.2870,12.1834,7.211,5.8463,4.7663,6.8431,15.3459,16.4834,8.5919
2.3660,12.5818,7.346,6.2606,5.3125,7.1355,15.7472,17.7946,8.6766
2.3680,12.469,7.1713,6.5276,5.0658,7.5059,15.8141,18.2067,8.9119
2.3560,12.0331,6.7345,5.9936,5.057,7.8568,15.3937,17.9538,8.9683
2.3400,11.4318,6.2501,5.7451,5.0922,7.5059,15.5083,17.9163,8.8648
2.4750,12.7058,6.3771,5.8371,5.5239,8.4125,15.709,20.9976,9.1189
2.5580,12.5178,6.528,6.3814,5.2244,8.4807,16.2632,23.1549,9.681
2.6820,13.2204,6.9657,7.0757,5.5327,7.9427,16.5785,24.7625,10.2054
2.7660,12.5772,6.8037,7.7985,5.4422,8.6531,17.7821,25.9053,10.0112
2.7260,12.7355,6.5929,7.0281,5.4339,8.1597,17.7431,24.7432,10.0986
2.8510,12.4782,6.8149,7.2944,5.4984,8.6037,16.8944,26.2442,10.5743
2.8580,12.7751,7.2752,8.9207,5.5536,10.9224,18.7185,28.0745,12.2348
2.8580,12.4584,6.8971,8.2169,5.6457,11.7611,17.6553,28.1036,13.7399
